worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 parmalat is now being run by a state appointed administrator  enrico bondi  who has launched lawsuits against 80 banks in an effort to recover money for the bankrupt company and its shareholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 trillion yuan at the end of 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in september  the imf had said that german growth for the current year would be 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but pwc s global chief executive  samuel dipiazza  said a growing number of companies were also concerned that moves to outsource work to cheaper countries could both hurt their reputation in their home markets and harm the quality of service they provide to their customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the prosecution s star witness is mr sullivan  one of six worldcom executives indicted in the case  he has pleaded guilty to fraud and appeared as a prosecution witness as part of an agreement with prosecutors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 wpp in recent years has also bought firms such as ogilvy & mather and cordiant communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr nevzlin is yukos  largest shareholder but is living in self-imposed exile in israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shareholders have a significant interest in information regarding relationships between the company and its directors   said sec deputy enforcement director linda thomsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the acquisition spurred its broadband internet division to pole position in the japanese market  with more than 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the international monetary fund (imf) has promised rapid action to help the governments of the stricken countries cope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the copper price reached a 16-year high in october 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  even extending some promotions and discounts and the pay-day boost later in the month could not tempt customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 they have all denied any wrongdoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it looks like the job situation is improving and that this will support consumer spending going into the holidays  and offset some of the drag caused by high oil prices this year   said economist gary thayer of ag edwards & sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 million tonnes of lng each year from 2011 onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 about 2 500 new jobs should be created in the next seven years  it added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr chavez  who is visiting china  said his country would put its many of its oil facilities at the disposal of china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it added that with few employment alternatives available many sacked garment workers could end up in far worse jobs - with some of the mainly female workers forced into the sex trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 billion people in asia living on less than $2 a day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mci is the us s second-biggest long distance firm after at&t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  union officials denied there had been a deliberate  sickout ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr ebbers could face a sentence of 85 years if convicted of all the charges he is facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 last week  yukos filed for chapter 11 bankruptcy protection in the us in a last-ditch attempt to hang on to yuganskneftegas  which accounts for 60% of its output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% in december - the first monthly rise since september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 both also have data network businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in both cases  the justification has been national security  amid allegations that the turkish firms are too close to israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   meanwhile  the group made no comment about the future of the independent newspaper despite recent speculation that sir anthony had held talks with potential buyers over a stake in the daily publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 other firms that have taken legal action in china  with varying degrees of success  include yamaha  general motors and toyota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 amf is also looking into whether the executives knew that vivendi was considering exercising its right to buy british telecom s shares in cegetel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm  reporting its first annual results since listing on the london stock exchange in june  said the uk market had seen sales growth of 8% last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com survivors such as amazon has helped revive its fortunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  after vladimir putin became president in 2000  he did not raise taxes  but put a lot of effort - too much  critics argue - into enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  as a consequence the government has taken action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn (£265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the report said even more would be on the poverty line without an average of $950m a year from international donors  some of which goes towards job creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   no one will have the right to check this money s origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 problems are occurring because increased responsibility is not going hand-in-hand with more training  the survey found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr walsh said there was no conflict of interest  and  if he was to launch a rival airline or join an existing competitor   this thing happens in every business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the outlook for the service sector was  uncertain  despite an increase in exports and orders over the quarter  the bcc noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the imf team stands ready to assist the (liberian) authorities in strengthening the areas mentioned   said the report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the eu expects the german deficit to fall to fall to 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 davos itself is in deep frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the survey is more upbeat than official figures - which suggest that manufacturing is in recession - but analysts said the survey did suggest that the manufacturing recovery was running out of steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in practice  it will be an intervention  although this is not the technical name used   he said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the fsa has been investigating whether investors were misled about the risks posed by split-capital investment trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr weingarten has suggested that mr sullivan is implicating mr ebbers only to win a lighter sentence  something mr sullivan denies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 global exports of these products are mainly in the hands of the european union and the us  who - thanks to subsidies - sell them at very low prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a spokesman for her lawyers described the decision as  very disappointing   but pointed to some criticism of merrill s procedures within the lengthy judgement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the appointment of mahmoud mohieldin  a reform-minded technocrat  to the new post of investment minister in july was taken as a sign that more sell-offs were on the way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 not everyone is convinced that the boom can continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 a spokesman for daimlerchrysler  parent company of mercedes benz  said it will however have to halt some production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 during that time  restrictions were put on planes taxiing  taking off and landing at frankfurt s rhein-main airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35% for a minimum balance of £1 and the alliance & leicester firstsaver which pays 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  some 150 000 people across the region are feared to be dead and millions have been left homeless and destitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% in 2005-6  up from 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 saic says none of its money will be paid to the four owners of rover  who have been accused by unions of awarding themselves exorbitant salaries  the ft reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the growth in remittances has sparked fierce competition between banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the government controls the printing presses and most radio and tv transmission facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 and where insurance certainly is in place - in  for example  the many tourist complexes affected - the costs will be borne in far-away corners of the global reinsurance market  rather than landing locally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 he also urged congress to reinstate lapsed rules that require tax cuts and spending to be offset elsewhere in the budget in an effort to prevent the us heading further into the red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 while the uk s jobless rate rose to 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  there is nothing unusual that the pre-payment is for five to six years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 others  however  who had stayed out fearing an imminent collapse because of prices overheating  continued to warn that the  bubble may burst any time ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr letwin said:  this is a very murky area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2% in 2003 and cut its debt back to £160m from £610m a year earlier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the biggest annual gains were made in wales  where house prices were up by 23% in the fourth quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  consolidation in the us telecommunications industry has picked up in the past few months as companies look to cut costs and boost client bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 he said the valuation would put increased pressure on xstrata to look at  sweetening  its offer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the rest would come from its parent company  china aviation oil holding company in beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it would cost millions if we wanted to introduce a new designation   mr kristiansen said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  we are seeing improved export orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  the lse did agree to leave the door open for talks to find out whether a  significantly-improved proposal  would be in the interests of lse s shareholders and customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it also believes the us  pressed by europe  is now more willing to engage seriously in the search for a settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  the company warned that headline earnings growth would be trimmed by about four percentage points because of share options for a black economic empowerment transaction and a staff share incentive scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975 against the dollar by 0730 gmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 bmw sold more than 100 of the iconic models compared with just ten the previous year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in september  it paid £82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the us business accounts for about 90% of wembley s operating profit and consists of operations in rhode island and colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ford  which has sold 4 000 of its first hybrid since its launch in august  is bringing a hybrid suv - the mariner - to market a year ahead of schedule  with plans for three more models by 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 gordon brown will need to raise about $10bn a year in order to sustain the public finances in the short term  the firm claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 outside the field of id theft  53% of the near-400 000 complaints were internet-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 increased costs at wembley and a separate development in london s docklands saw multiplex s construction division report profits of a$35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 infrastructure is being built to handle the expected increase in demand and on tuesday  agence france presse reported that a group led by germany s siemens won the contract to build a private airport near bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  i am now confident that we can now move forward in 2005 towards rebuilding jarvis and return it to growth as a profitable business   said chief executive alan lovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 tarceva - made by osi pharmaceuticals  genentech and roche - has already proved to be successful in helping prolong the life of lung cancer patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  we desperately need to expand our production in order to meet growing demand in the indian auto market  which is growing over 12 percent every year  and to top our competitors   chairman chung mong-koo said in the statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the ten former outside directors are james allen  judith areen  carl aycock  max bobbitt  clifford alexander  stiles kellett  gordon macklin  john porter  lawrence tucker and the estate of john sidgmore  who died last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 houston-based continental now has debt and pension payments of nearly $984m which it must pay off this year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 reports from russia say baikal has paid a deposit of nearly $1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  both are interested in expanding in logistics and you can make a decent case for cost synergies which could justify the premium and that s before you make any argument about revenue synergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the watchdog s chief accountant donald nicolaisen said that  fannie mae s methodology of assessing  measuring and documenting hedge ineffectiveness was inadequate and was not supported  by generally accepted accounting principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  it stressed this would not result in large scale redundancies in its home market  where most of its 35 000 staff are employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  third-quarter sales rose 34% to 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the prosecution s star witness  former worldcom financial chief scott sullivan  has said that mr ebbers ordered accounting adjustments at the firm  telling him to  hit our books ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  they have been listening to us and to many overseas companies  who have reminded america what globalisation really means: that they can t make these rules in isolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 chief executive gerd niebaum stepped down last week and creditors have been pushing for a greater say in how the club is run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ross walker  uk economist at royal bank of scotland  said he was surprised that a dissenting vote had been made so soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  unveiling the 418bn-rand budget to parliament  mr manuel said the south african economy had grown by an average of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 this is lower than the 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 income and corporate taxes will be cut next year in order to attract $15bn of foreign investment over the next three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  this includes achieving significant cost reductions  improving the merchandising and customer service in all locations and generating a sense of excitement in the stores   he said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the figures come hot on the heels of new data from property website rightmove which suggested owners must indulge in a  winter sale  and slash prices by up to 8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 with united battling bankruptcy  the carrier had wanted to use the money set aside for pensions to finance running costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 turkmenistan is the second-largest gas producer in the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 one analyst suggested that a bidding battle may now begin for the company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  yukos chief financial officer bruce misamore  who had moved to the us in early december to set up yukos usa  acknowledged the point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 according to andreas adriano of latin trade magazine  the new bankruptcy law will help in reducing the spread - difference between the interest rates of the banks and federal bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the us military industry has show a strong interest to open a link with india  now that relations between the two countries have improved a lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 india began to open up its domestic airline market - previously dominated by state-run carrier indian airlines - in the 1990s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the ons echoed an earlier caution from bank of england governor mervyn king not to read too much into the poor december figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 cadbury added that its fuel for growth cost-cutting programme had saved £75m in 2004  bringing total cost savings to £100m since the scheme began in mid-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the us department of energy reported that crude stockpiles had fallen 1m barrels to 294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
